,date,rcp_scenario,temp
4541,2032-11-12,rcp85,17.938965702531497
4542,2032-11-13,rcp85,18.086335624936805
4543,2032-11-14,rcp85,18.18123577311668
4544,2032-11-15,rcp85,18.00078726490299
4545,2032-11-16,rcp85,17.369072686347746
4546,2032-11-17,rcp85,17.536870017803885
4547,2032-11-18,rcp85,17.782058597529083
4548,2032-11-19,rcp85,18.010877994509997
4549,2032-11-20,rcp85,18.177231495115162
4550,2032-11-21,rcp85,18.24865242345939
4551,2032-11-22,rcp85,17.843313576428134
4552,2032-11-23,rcp85,17.710101731672975
4553,2032-11-24,rcp85,17.68625182352104
4554,2032-11-25,rcp85,17.749393380457153
4555,2032-11-26,rcp85,17.753514702426532
4556,2032-11-27,rcp85,17.562257947898864
4557,2032-11-28,rcp85,17.472784198225924
4558,2032-11-29,rcp85,17.60509822620459
4559,2032-11-30,rcp85,17.72086512745967
4560,2037-11-1,rcp85,19.027820663023654
4561,2037-11-2,rcp85,19.083127303274583
4562,2037-11-3,rcp85,18.768755203412947
4563,2037-11-4,rcp85,18.65710731807948
4564,2037-11-5,rcp85,18.04174265367627
4565,2037-11-6,rcp85,17.92361535787935
4566,2037-11-7,rcp85,18.046136228627464
4567,2037-11-8,rcp85,18.279706227642563
4568,2037-11-9,rcp85,18.537524265030108
4569,2037-11-10,rcp85,18.660700720890866
4570,2037-11-11,rcp85,18.750057922483336
4571,2037-11-12,rcp85,18.921881396006036
4572,2037-11-13,rcp85,19.111897299244184
4573,2037-11-14,rcp85,19.22519856450419
4574,2037-11-15,rcp85,19.268781020442393
4575,2037-11-16,rcp85,19.2730960693758
4576,2037-11-17,rcp85,19.273871457614742
4577,2037-11-18,rcp85,19.26296268699868
4578,2037-11-19,rcp85,19.25563609473297
4579,2037-11-20,rcp85,19.255303992891157
4580,2037-11-21,rcp85,19.246711333690786
4581,2037-11-22,rcp85,19.215518037648565
4582,2037-11-23,rcp85,19.159652524064803
4583,2037-11-24,rcp85,19.135624732527013
4584,2037-11-25,rcp85,19.15095181532814
4585,2037-11-26,rcp85,19.159948393553307
4586,2037-11-27,rcp85,19.176422142702222
4587,2037-11-28,rcp85,19.184780347870205
4588,2037-11-29,rcp85,19.16443039779838
4589,2037-11-30,rcp85,19.0779316957683
4590,2042-11-1,rcp85,19.862516972008972
4591,2042-11-2,rcp85,19.935625555512804
4592,2042-11-3,rcp85,20.00481595984515
4593,2042-11-4,rcp85,20.074866153375453
4594,2042-11-5,rcp85,20.145327234074948
4595,2042-11-6,rcp85,20.205004859066683
4596,2042-11-7,rcp85,20.168790602795465
4597,2042-11-8,rcp85,19.87919422353963
4598,2042-11-9,rcp85,18.665425434193963
4599,2042-11-10,rcp85,17.94678652853788
4600,2042-11-11,rcp85,17.912326020081807
4601,2042-11-12,rcp85,17.95640090809426
4602,2042-11-13,rcp85,18.04816141448998
4603,2042-11-14,rcp85,17.97160593268577
4604,2042-11-15,rcp85,17.783379324501745
4605,2042-11-16,rcp85,17.616444741492064
4606,2042-11-17,rcp85,17.50233814748499
4607,2042-11-18,rcp85,17.46437784251802
4608,2042-11-19,rcp85,17.460777580859528
4609,2042-11-20,rcp85,17.480399016832486
4610,2042-11-21,rcp85,17.501621205531347
4611,2042-11-22,rcp85,17.580064548232645
4612,2042-11-23,rcp85,17.645112852013433
4613,2042-11-24,rcp85,17.524768615612977
4614,2042-11-25,rcp85,16.299482632536588
4615,2042-11-26,rcp85,16.712041672992513
4616,2042-11-27,rcp85,16.85106101371483
4617,2042-11-28,rcp85,16.92472681028949
4618,2042-11-29,rcp85,17.04022468094578
4619,2042-11-30,rcp85,17.194688347437552
4620,2047-11-1,rcp85,19.655468189701633
4621,2047-11-2,rcp85,19.765564599989464
4622,2047-11-3,rcp85,19.56238310042438
4623,2047-11-4,rcp85,18.501584405030957
4624,2047-11-5,rcp85,18.15175411253962
4625,2047-11-6,rcp85,18.19725540583734
4626,2047-11-7,rcp85,18.34354342671999
4627,2047-11-8,rcp85,18.637664765976066
4628,2047-11-9,rcp85,18.976263922521696
4629,2047-11-10,rcp85,19.552319748402876
4630,2047-11-11,rcp85,20.030298123412205
4631,2047-11-12,rcp85,20.34387448138083
